		A2058_1	A2058_2	A2058_3	Skmel_1	Skmel_2	A431_1	A431_2	A431_3	SCC9_1	SCC9_2	HEK_2	HEK_3	HaCaT_1	HaCaT_2	HaCaT_3
		melanoma	melanoma	melanoma	melanoma	melanoma	carcinoma	carcinoma	carcinoma	carcinoma	carcinoma	normal	normal	normal	normal	normal
PDLIM1	IPI00010414_PDLIM1	0.00	0.00	0.00	0.00	0.00	13.21	3.01	2.80	30.30	24.03	0.00	0.00	33.61	16.51	17.41
PPA1	IPI00015018_PPA1	0.00	5.98	3.55	0.00	0.00	6.60	9.04	12.12	5.27	17.16	10.82	12.25	11.55	15.29	19.59
AHCY	IPI00012007_AHCY	2.25	5.98	7.11	0.00	5.80	26.41	18.08	17.71	6.59	8.24	10.82	4.59	10.50	15.29	11.97
ACTB	IPI00922693_ACTB	48.31	34.18	42.65	29.58	18.56	49.52	23.11	24.23	39.52	35.70	32.47	30.61	35.71	31.18	22.31
HSPD1	IPI00784154_HSPD1	2.25	5.98	13.33	7.39	25.51	4.95	4.02	9.32	11.86	10.30	49.47	35.21	2.10	4.89	0.00
HMGB1	IPI00419258_HMGB1	7.86	4.27	2.67	0.00	3.48	9.90	5.02	5.59	15.81	8.24	3.09	16.84	7.35	8.56	8.16
KPNB1	IPI00001639_KPNB1	15.73	11.96	15.99	0.00	5.80	4.95	0.00	3.73	2.63	17.85	9.28	12.25	6.30	12.23	10.88
ANXA5	IPI00329801_ANXA5	10.11	2.56	0.00	42.89	42.91	18.16	12.06	13.05	9.22	4.12	0.00	0.00	0.00	0.00	0.00
HEXB	IPI00012585_HEXB	3.37	14.53	8.00	17.75	22.03	0.00	21.10	13.05	3.95	5.49	3.09	0.00	7.35	5.50	8.16
G6PD	IPI00853547_G6PD	7.86	6.84	4.44	0.00	0.00	4.95	5.02	4.66	6.59	14.42	0.00	0.00	3.15	12.84	15.23
GALNT2	IPI00004669_GALNT2	15.73	15.38	22.21	13.31	33.63	3.30	10.01	9.32	0.00	0.00	7.73	10.71	5.25	3.06	3.81
LGALS1	IPI00219219_LGALS1	19.10	12.82	8.88	8.87	30.15	11.55	8.04	12.12	9.22	10.30	0.00	0.00	2.10	0.00	0.00
LDHB	IPI00219217_LDHB	16.85	13.67	10.66	4.44	12.76	16.51	9.04	5.59	6.59	12.36	43.29	22.96	7.35	8.56	11.97
SOD1	IPI00218733_SOD1	5.62	7.69	8.88	5.92	10.44	18.16	11.05	14.91	17.13	5.49	20.10	18.37	8.40	7.95	4.90
HYOU1	IPI00000877_HYOU1	4.49	12.82	12.44	31.06	42.91	0.00	4.02	5.59	0.00	4.12	6.18	10.71	2.10	4.28	3.81
YWHAB	IPI00216318_YWHAB	17.98	13.67	12.44	4.44	9.28	11.55	12.06	13.98	28.98	24.71	17.01	19.90	23.11	23.24	23.39
HBA1	IPI00410714_HBA1	8.99	8.54	8.88	11.83	6.96	9.90	4.02	8.39	10.54	6.87	41.74	48.98	3.15	5.50	5.44
IPO5	IPI00793443_IPO5	8.99	9.40	8.88	0.00	0.00	6.60	0.00	3.73	3.95	15.79	3.09	12.25	6.30	25.07	21.76
PTBP1	IPI00179964_PTBP1	11.24	0.00	5.33	0.00	0.00	14.86	4.02	4.66	10.54	16.48	12.37	15.31	10.50	18.34	18.50
TFRC	IPI00022462_TFRC	7.86	12.82	14.22	62.11	26.67	4.95	0.00	3.73	0.00	2.06	0.00	0.00	5.25	7.34	9.25
FUCA2	IPI00012440_FUCA2	10.11	13.67	11.55	11.83	16.24	4.95	22.10	24.23	0.00	2.06	23.19	22.96	0.00	0.00	0.00
PXDN	IPI00016112_PXDN	33.71	37.60	35.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.46	0.00	0.00	0.00	0.00
PTPRS	IPI00332271_PTPRS	3.37	5.13	9.77	4.44	9.28	28.06	28.13	12.12	0.00	0.00	4.64	7.65	27.31	17.12	10.88
GOT1	IPI00219029_GOT1	10.11	5.98	9.77	0.00	5.80	14.86	12.06	9.32	2.63	4.12	13.91	15.31	23.11	18.95	13.60
HLA-A	IPI00647457_HLA-A	17.98	14.53	18.66	16.27	17.40	28.06	21.10	23.30	2.63	6.18	3.09	0.00	4.20	4.89	4.35
GOLM1	IPI00171411_GOLM1	7.86	15.38	15.10	10.35	15.08	0.00	13.06	11.18	0.00	0.00	20.10	50.51	4.20	0.00	7.07
KLK6	IPI00023845_KLK6	0.00	0.00	0.00	0.00	0.00	44.57	71.33	46.60	0.00	0.00	0.00	0.00	3.15	0.00	2.72
PGD	IPI00219525_PGD	12.36	12.82	12.44	0.00	0.00	6.60	0.00	8.39	5.27	10.98	9.28	4.59	7.35	16.51	16.32
XRCC5	IPI00220834_XRCC5	8.99	9.40	10.66	0.00	0.00	6.60	3.01	12.12	2.63	9.61	12.37	12.25	3.15	12.23	11.97
CTSA	IPI00021794_CTSA	2.25	8.54	2.67	22.18	22.03	0.00	11.05	7.46	7.90	10.30	0.00	3.06	8.40	12.84	11.42
IDH1	IPI00027223_IDH1	8.99	5.13	8.00	0.00	5.80	3.30	17.08	13.05	5.27	15.79	0.00	0.00	6.30	8.56	9.25
PTPRF	IPI00107831_PTPRF	0.00	0.00	0.00	0.00	0.00	0.00	22.10	14.91	7.90	7.55	32.47	36.74	2.10	4.89	4.35
FKBP4	IPI00219005_FKBP4	4.49	5.13	8.00	0.00	0.00	6.60	7.03	6.52	6.59	13.04	13.91	9.18	12.60	18.34	16.32
DDB1	IPI00293464_DDB1	0.00	4.27	3.55	0.00	5.80	6.60	8.04	7.46	5.27	7.55	9.28	12.25	7.35	12.23	9.79
TALDO1	IPI00744692_TALDO1	5.62	7.69	8.00	4.44	3.48	14.86	7.03	6.52	17.13	8.24	4.64	3.06	14.70	9.78	9.79
HEXA	IPI00027851_HEXA	4.49	8.54	8.88	19.23	19.71	3.30	11.05	6.52	0.00	3.43	10.82	10.71	6.30	7.95	9.25
PCNA	IPI00021700_PCNA	7.86	8.54	7.11	2.96	2.32	8.25	10.01	11.18	3.95	6.87	21.64	13.78	11.55	12.23	8.16
CCT7	IPI00018465_CCT7	11.24	5.98	8.00	0.00	0.00	9.90	0.00	4.66	6.59	10.30	13.91	12.25	5.25	15.29	11.42
TPT1	IPI00550900_TPT1	6.74	5.13	7.11	0.00	2.32	6.60	9.04	11.18	7.90	4.12	6.18	6.12	15.75	6.73	12.51
CTSZ	IPI00002745_CTSZ	2.25	0.00	7.11	16.27	20.87	0.00	14.07	12.12	2.63	7.55	0.00	0.00	9.45	6.11	9.79
GLO1	IPI00220766_GLO1	12.36	7.69	3.55	0.00	5.80	4.95	8.04	8.39	17.13	8.24	13.91	9.18	6.30	4.89	4.35
COL6A1	IPI00291136_COL6A1	16.85	16.24	19.55	0.00	5.80	0.00	0.00	0.00	0.00	0.00	46.38	36.74	0.00	0.00	0.00
PLAT	IPI00019590_PLAT	30.33	35.03	37.31	5.92	10.44	0.00	0.00	0.00	0.00	0.00	17.01	7.65	0.00	0.00	0.00
MFI2	IPI00029275_MFI2	12.36	17.09	23.10	25.14	33.63	6.60	21.10	15.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PEBP1	IPI00219446_PEBP1	5.62	9.40	7.11	0.00	10.44	11.55	9.04	9.32	13.17	8.92	13.91	12.25	13.65	6.73	9.25
CFB	IPI00019591_CFB	0.00	0.00	0.00	0.00	0.00	3.30	30.14	12.12	18.44	37.76	0.00	0.00	0.00	0.00	0.00
NAGLU	IPI00008787_NAGLU	24.72	28.20	28.43	0.00	9.28	0.00	0.00	0.00	0.00	2.75	3.09	7.65	2.10	5.50	8.16
HDGF	IPI00020956_HDGF	7.86	2.56	8.88	0.00	2.32	13.21	5.02	6.52	9.22	14.42	0.00	10.71	4.20	10.39	8.16
GM2A	IPI00018236_GM2A	5.62	11.11	8.88	17.75	17.40	4.95	5.02	7.46	6.59	4.12	10.82	10.71	9.45	6.73	5.98
AKR1B1	IPI00413641_AKR1B1	5.62	3.42	2.67	2.96	4.64	3.30	3.01	7.46	3.95	6.18	13.91	7.65	3.15	6.11	2.72
RPLP2	IPI00008529_RPLP2	19.10	7.69	9.77	4.44	8.12	23.11	8.04	10.25	25.03	9.61	6.18	13.78	11.55	12.84	9.25
LOXL2	IPI00294839_LOXL2	0.00	2.56	3.55	23.66	25.51	21.46	46.22	20.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00
PSAT1	IPI00001734_PSAT1	0.00	9.40	7.11	0.00	8.12	0.00	12.06	8.39	0.00	4.81	9.28	7.65	7.35	17.73	14.15
HNRNPD	IPI00028888_HNRNPD	6.74	7.69	5.33	2.96	2.32	4.95	3.01	2.80	13.17	12.36	17.01	16.84	10.50	6.73	7.07
MDH1	IPI00916111_MDH1	13.48	6.84	11.55	8.87	10.44	13.21	7.03	5.59	13.17	6.18	15.46	10.71	18.90	6.11	5.44
DSG2	IPI00028931_DSG2	0.00	0.00	0.00	2.96	5.80	9.90	9.04	8.39	9.22	4.81	3.09	7.65	19.95	6.11	7.62
RNH1	IPI00550069_RNH1	2.25	0.00	4.44	0.00	2.32	0.00	3.01	8.39	22.40	32.27	6.18	0.00	9.45	9.17	11.97
PYGB	IPI00004358_PYGB	6.74	2.56	8.00	0.00	0.00	0.00	0.00	0.00	0.00	2.75	0.00	0.00	2.10	32.41	28.83
XRCC6	IPI00644712_XRCC6	7.86	8.54	4.44	0.00	0.00	13.21	5.02	8.39	5.27	7.55	20.10	10.71	7.35	13.45	10.34
ATIC	IPI00289499_ATIC	10.11	10.25	6.22	0.00	5.80	6.60	7.03	8.39	0.00	5.49	12.37	9.18	9.45	9.78	11.97
SYNCRIP	IPI00018140_SYNCRIP	4.49	10.25	4.44	0.00	0.00	8.25	2.01	3.73	3.95	13.73	7.73	9.18	7.35	14.06	13.60
L1CAM	IPI00334532_L1CAM	0.00	0.00	0.00	51.76	70.74	0.00	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00
IGFBP5	IPI00029236_IGFBP5	44.94	43.58	35.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	3.06	0.00	0.00	0.00
MYL6	IPI00796366_MYL6	6.74	5.98	9.77	16.27	6.96	23.11	9.04	15.84	14.49	6.87	6.18	10.71	10.50	8.56	8.16
TPP1	IPI00298237_TPP1	2.25	5.13	4.44	0.00	5.80	0.00	0.00	0.00	7.90	7.55	12.37	6.12	12.60	9.17	12.51
TF	IPI00022463_TF	25.84	29.05	37.31	17.75	2.32	6.60	0.00	3.73	2.63	0.00	0.00	4.59	4.20	0.00	0.00
CCT3	IPI00977430_CCT3	11.24	8.54	11.55	0.00	0.00	3.30	3.01	5.59	0.00	6.87	18.55	12.25	6.30	11.62	11.97
LCP1	IPI00010471_LCP1	0.00	0.00	0.00	7.39	19.71	42.92	16.08	33.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CDH3	IPI00645614_CDH3	0.00	0.00	0.00	0.00	0.00	11.55	13.06	17.71	22.40	9.61	4.64	0.00	15.75	15.90	17.95
CCT8	IPI00302925_CCT8	13.48	5.98	8.88	0.00	3.48	9.90	3.01	4.66	3.95	2.75	21.64	13.78	2.10	11.01	10.34
SRPX	IPI00215899_SRPX	23.59	13.67	29.32	28.10	32.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
MMP13	IPI00021738_MMP13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	26.26	22.62	32.10
YWHAQ	IPI00018146_YWHAQ	11.24	12.82	12.44	4.44	4.64	13.21	12.06	7.46	14.49	19.22	13.91	26.02	11.55	14.06	14.15
MATN2	IPI00473118_MATN2	10.11	14.53	7.11	0.00	0.00	8.25	8.04	4.66	0.00	4.12	0.00	0.00	16.80	10.39	12.51
SERPINA3	IPI00550991_SERPINA3	15.73	27.34	93.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LRP1	IPI00020557_LRP1	0.00	0.00	0.00	11.83	8.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LAMA2	IPI00479834_LAMA2	0.00	0.00	0.00	53.24	47.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SND1	IPI00140420_SND1	10.11	6.84	4.44	0.00	2.32	3.30	0.00	0.00	14.49	14.42	10.82	4.59	5.25	11.01	10.88
PDIA6	IPI00299571_PDIA6	2.25	3.42	0.00	25.14	12.76	24.76	12.06	14.91	18.44	11.67	15.46	13.78	0.00	4.28	2.18
EEF1D	IPI00642971_EEF1D	12.36	7.69	6.22	5.92	3.48	19.81	5.02	6.52	14.49	7.55	7.73	6.12	8.40	6.73	7.62
MAPRE1	IPI00017596_MAPRE1	3.37	0.00	3.55	0.00	3.48	16.51	8.04	11.18	2.63	4.81	9.28	6.12	11.55	14.67	10.34
GNS	IPI00012102_GNS	3.37	6.84	3.55	10.35	12.76	0.00	9.04	2.80	3.95	9.61	4.64	0.00	11.55	8.56	7.07
BAT1	IPI00790636_BAT1	0.00	2.56	4.44	0.00	0.00	6.60	2.01	2.80	3.95	12.36	15.46	10.71	0.00	6.11	8.70
PSMA4	IPI00299155_PSMA4	10.11	8.54	11.55	0.00	4.64	0.00	5.02	12.12	2.63	9.61	0.00	7.65	17.85	14.67	10.34
CCT5	IPI00964079_CCT5	6.74	12.82	8.88	0.00	0.00	9.90	0.00	4.66	7.90	6.18	18.55	19.90	5.25	11.01	7.62
CBX3	IPI00297579_CBX3	14.61	5.98	5.33	0.00	5.80	9.90	7.03	5.59	21.08	13.73	9.28	9.18	10.50	13.45	6.53
NPEPPS	IPI00026216_NPEPPS	5.62	3.42	7.11	4.44	2.32	4.95	3.01	4.66	13.17	12.36	13.91	3.06	2.10	7.95	9.25
PLTP	IPI00643034_PLTP	2.25	5.98	4.44	16.27	6.96	8.25	10.01	13.05	0.00	0.00	0.00	0.00	2.10	12.23	14.69
GARS	IPI00783097_GARS	8.99	9.40	10.66	0.00	2.32	11.55	3.01	7.46	10.54	10.30	13.91	4.59	11.55	11.01	9.79
MDK	IPI00010333_MDK	11.24	9.40	7.11	5.92	0.00	14.86	16.08	11.18	9.22	8.24	20.10	18.37	15.75	12.23	7.62
LDLR	IPI00000070_LDLR	0.00	3.42	2.67	44.37	32.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	6.11	5.44
CPE	IPI00031121_CPE	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	2.06	58.75	64.29	0.00	0.00	0.00
B3GNT1	IPI00009997_B3GNT1	3.37	8.54	9.77	7.39	2.32	0.00	2.01	3.73	0.00	0.00	26.28	24.49	3.15	0.00	0.00
KLK10	IPI00480121_KLK10	0.00	0.00	0.00	0.00	0.00	11.55	12.06	12.12	13.17	8.24	0.00	0.00	16.80	13.45	10.34
APEX1	IPI00215911_APEX1	8.99	3.42	8.00	0.00	3.48	0.00	5.02	8.39	6.59	7.55	13.91	16.84	15.75	10.39	10.34
PGM1	IPI00219526_PGM1	8.99	5.13	7.11	5.92	6.96	0.00	5.02	7.46	0.00	14.42	7.73	4.59	0.00	2.45	4.90
VGF	IPI00289501_VGF	5.62	2.56	3.55	31.06	64.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SPTAN1	IPI00844215_SPTAN1	0.00	2.56	4.44	0.00	0.00	0.00	0.00	2.80	7.90	10.98	3.09	6.12	7.35	8.56	9.25
CCT2	IPI00297779_CCT2	6.74	10.25	8.88	0.00	0.00	9.90	2.01	0.00	6.59	7.55	17.01	13.78	3.15	12.84	9.25
NRP2	IPI01013755_NRP2	7.86	18.80	11.55	31.06	23.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.72
LMAN2	IPI00009950_LMAN2	10.11	8.54	12.44	45.85	33.63	0.00	2.01	0.00	0.00	0.00	15.46	12.25	2.10	0.00	0.00
MEGF10	IPI00064607_MEGF10	19.10	14.53	22.21	16.27	20.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ARHGDIA	IPI00003815_ARHGDIA	6.74	4.27	3.55	2.96	5.80	4.95	2.01	4.66	15.81	5.49	12.37	12.25	4.20	3.67	3.81
LTBP3	IPI00073196_LTBP3	10.11	5.98	14.22	0.00	0.00	3.30	9.04	16.78	0.00	0.00	17.01	19.90	0.00	0.00	0.00
PSMA7	IPI00024175_PSMA7	10.11	12.82	6.22	0.00	2.32	4.95	9.04	6.52	2.63	4.81	6.18	9.18	11.55	10.39	8.70
LTF	IPI00925547_LTF	6.74	3.42	2.67	8.87	3.48	16.51	2.01	2.80	10.54	2.75	7.73	9.18	9.45	0.00	2.18
FUBP1	IPI00983652_FUBP1	8.99	3.42	5.33	0.00	0.00	8.25	6.03	2.80	10.54	9.61	10.82	7.65	8.40	8.56	10.88
ANP32A	IPI00025849_ANP32A	5.62	2.56	2.67	0.00	6.96	4.95	9.04	9.32	5.27	5.49	0.00	10.71	6.30	11.01	7.07
EIF6	IPI00010105_EIF6	4.49	6.84	5.33	2.96	0.00	16.51	11.05	14.91	15.81	9.61	12.37	6.12	7.35	8.56	10.34
TARS	IPI00329633_TARS	6.74	7.69	4.44	0.00	0.00	0.00	0.00	8.39	0.00	10.30	7.73	9.18	5.25	8.56	9.25
SERBP1	IPI00470498_SERBP1	5.62	5.13	2.67	2.96	2.32	0.00	0.00	4.66	10.54	5.49	12.37	13.78	12.60	10.39	8.16
CKB	IPI00022977_CKB	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.63	2.06	63.39	52.04	0.00	0.00	0.00
RDX	IPI00903145_RDX	30.33	16.24	15.99	4.44	12.76	16.51	6.03	6.52	9.22	15.10	7.73	6.12	21.00	23.24	21.22
ALDOC	IPI00418262_ALDOC	14.61	10.25	9.77	8.87	18.56	16.51	23.11	19.57	17.13	11.67	12.37	13.78	12.60	10.39	13.06
SFPQ	IPI00010740_SFPQ	12.36	2.56	4.44	0.00	0.00	3.30	0.00	0.00	7.90	6.87	12.37	9.18	4.20	12.23	11.42
CDH2	IPI00290085_CDH2	26.96	19.65	20.43	2.96	5.80	0.00	0.00	0.00	0.00	0.00	15.46	26.02	2.10	0.00	0.00
LASP1	IPI00000861_LASP1	5.62	6.84	3.55	0.00	0.00	8.25	4.02	3.73	10.54	6.18	4.64	0.00	19.95	6.11	7.62
PRDX2	IPI00027350_PRDX2	12.36	10.25	10.66	2.96	3.48	8.25	6.03	3.73	2.63	2.06	10.82	10.71	12.60	7.34	4.90
GC	IPI00965085_GC	14.61	2.56	9.77	10.35	0.00	16.51	2.01	2.80	6.59	6.18	4.64	24.49	8.40	0.00	0.00
HLA-C	IPI00976792_HLA-C	15.73	10.25	14.22	13.31	8.12	8.25	11.05	16.78	2.63	8.24	3.09	0.00	5.25	7.95	7.62
LCN2	IPI00299547_LCN2	0.00	0.00	0.00	0.00	0.00	9.90	35.17	21.44	11.86	15.79	0.00	0.00	8.40	4.28	6.53
LTBP4	IPI00783492_LTBP4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	86.58	61.23	0.00	0.00	0.00
FAM3C	IPI00334282_FAM3C	3.37	6.84	8.88	0.00	2.32	6.60	14.07	9.32	2.63	0.00	34.01	33.68	2.10	0.00	0.00
WDR1	IPI00746165_WDR1	7.86	8.54	4.44	0.00	0.00	0.00	0.00	4.66	0.00	13.73	0.00	0.00	0.00	4.89	3.81
TXNDC5	IPI00171438_TXNDC5	4.49	9.40	3.55	20.70	12.76	9.90	0.00	0.00	3.95	4.12	9.28	0.00	3.15	0.00	2.18
CTSL2	IPI00000013_CTSL2	0.00	0.00	0.00	0.00	0.00	3.30	7.03	9.32	6.59	2.75	0.00	0.00	19.95	15.29	15.78
PCOLCE	IPI00299738_PCOLCE	23.59	40.16	42.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CANT1	IPI00103175_CANT1	0.00	6.84	6.22	0.00	2.32	0.00	14.07	7.46	0.00	2.75	10.82	19.90	0.00	0.00	3.26
PRDX6	IPI00220301_PRDX6	4.49	5.13	8.00	0.00	0.00	6.60	7.03	4.66	7.90	6.18	9.28	12.25	5.25	7.34	5.44
RPLP0	IPI00008530_RPLP0	8.99	11.96	12.44	0.00	4.64	11.55	9.04	5.59	0.00	6.87	0.00	7.65	3.15	13.45	11.97
SILV	IPI00031630_SILV	3.37	13.67	7.11	56.20	22.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
COTL1	IPI00017704_COTL1	6.74	4.27	4.44	0.00	3.48	8.25	3.01	7.46	13.17	6.18	0.00	0.00	9.45	4.89	4.35
PCSK5	IPI00746753_PCSK5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.35	9.78	9.79
PSMA2	IPI00219622_PSMA2	6.74	4.27	7.11	2.96	4.64	3.30	6.03	9.32	2.63	5.49	6.18	3.06	12.60	11.01	7.07
SERPINB2	IPI00007117_SERPINB2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.73	10.54	4.12	0.00	0.00	15.75	14.06	19.04
TXNRD1	IPI00885213_TXNRD1	5.62	5.98	8.88	0.00	5.80	6.60	8.04	5.59	7.90	13.73	0.00	6.12	10.50	0.00	2.18
CA2	IPI00218414_CA2	0.00	0.00	0.00	0.00	0.00	4.95	10.01	3.73	0.00	0.00	17.01	16.84	11.55	15.29	16.32
SERPINE1	IPI00007118_SERPINE1	0.00	0.00	0.00	0.00	0.00	0.00	13.06	5.59	19.76	5.49	0.00	0.00	0.00	0.00	0.00
AARS	IPI00027442_AARS	6.74	5.98	0.00	0.00	0.00	0.00	0.00	0.00	3.95	10.98	18.55	9.18	2.10	11.62	10.34
DSC3	IPI00031549_DSC3	0.00	0.00	0.00	0.00	0.00	0.00	4.02	0.00	5.27	2.75	3.09	4.59	21.00	14.67	11.42
NAP1L1	IPI00797545_NAP1L1	8.99	3.42	2.67	2.96	2.32	9.90	5.02	7.46	3.95	6.18	0.00	12.25	2.10	9.17	5.44
BMP1	IPI00009054_BMP1	2.25	9.40	7.11	0.00	2.32	0.00	5.02	3.73	0.00	6.18	0.00	0.00	11.55	2.45	4.90
HNRNPU	IPI00883857_HNRNPU	8.99	0.00	5.33	0.00	0.00	9.90	8.04	5.59	14.49	5.49	7.73	12.25	7.35	6.73	5.98
CAST	IPI00760715_CAST	0.00	0.00	0.00	0.00	0.00	0.00	5.02	4.66	5.27	6.18	0.00	0.00	12.60	10.39	12.51
PSMA1	IPI00016832_PSMA1	8.99	0.00	2.67	4.44	0.00	11.55	4.02	3.73	10.54	2.75	4.64	10.71	10.50	9.17	7.62
ILF3	IPI01018179_ILF3	2.25	3.42	2.67	0.00	0.00	3.30	4.02	0.00	0.00	4.81	7.73	16.84	4.20	11.62	11.42
ASAH1	IPI00013698_ASAH1	0.00	9.40	5.33	29.58	25.51	0.00	0.00	0.00	2.63	0.00	0.00	0.00	0.00	3.67	4.90
NASP	IPI00179953_NASP	0.00	0.00	0.00	0.00	3.48	3.30	5.02	2.80	7.90	2.75	17.01	7.65	4.20	9.17	5.44
RANBP1	IPI00414127_RANBP1	5.62	0.00	0.00	0.00	0.00	6.60	2.01	5.59	7.90	2.06	7.73	10.71	3.15	3.67	2.72
DPP3	IPI00976779_DPP3	0.00	3.42	4.44	0.00	0.00	0.00	0.00	3.73	6.59	11.67	6.18	3.06	2.10	16.51	13.60
YBX1	IPI00031812_YBX1	3.37	5.13	4.44	4.44	6.96	11.55	9.04	7.46	13.17	8.24	4.64	9.18	7.35	9.17	4.90
ITIH2	IPI00305461_ITIH2	4.49	2.56	7.11	8.87	0.00	18.16	0.00	4.66	11.86	2.75	15.46	16.84	4.20	0.00	0.00
SERPINB6	IPI00413451_SERPINB6	0.00	6.84	7.11	0.00	0.00	4.95	8.04	8.39	3.95	16.48	0.00	0.00	3.15	7.95	8.70
MXRA5	IPI00012347_MXRA5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.45	14.67	20.13
GAA	IPI00293088_GAA	0.00	6.84	3.55	7.39	15.08	6.60	22.10	7.46	5.27	10.30	0.00	0.00	0.00	0.00	0.00
PPP2R1A	IPI00554737_PPP2R1A	8.99	4.27	4.44	0.00	0.00	9.90	2.01	0.00	0.00	10.30	9.28	7.65	0.00	10.39	10.34
RNASET2	IPI00414896_RNASET2	0.00	0.00	0.00	4.44	2.32	0.00	9.04	3.73	0.00	2.06	34.01	27.55	5.25	3.06	3.26
RPSA	IPI00413108_RPSA	7.86	5.98	11.55	0.00	2.32	9.90	4.02	6.52	5.27	4.12	15.46	12.25	4.20	9.17	9.79
AEBP1	IPI00745313_AEBP1	20.22	35.03	37.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
LMNB1	IPI00217975_LMNB1	3.37	3.42	2.67	0.00	0.00	3.30	9.04	11.18	11.86	6.18	7.73	10.71	7.35	6.73	8.16
LRG1	IPI00022417_LRG1	0.00	0.00	0.00	0.00	0.00	33.01	39.18	37.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00
GBA	IPI00021807_GBA	0.00	7.69	6.22	0.00	6.96	0.00	0.00	3.73	0.00	0.00	9.28	4.59	2.10	9.78	14.69
PSMB4	IPI00555956_PSMB4	11.24	5.98	6.22	2.96	5.80	11.55	8.04	3.73	2.63	4.81	0.00	0.00	10.50	7.95	3.81
SPTBN1	IPI00005614_SPTBN1	0.00	0.00	0.00	0.00	0.00	3.30	0.00	0.00	2.63	7.55	0.00	3.06	0.00	7.95	14.15
PCBP1	IPI00016610_PCBP1	8.99	5.13	5.33	0.00	0.00	13.21	2.01	2.80	6.59	10.98	6.18	0.00	6.30	9.78	5.98
SEMA5A	IPI00013880_SEMA5A	8.99	18.80	15.10	10.35	13.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.40	0.00	0.00
TCP1	IPI00290566_TCP1	6.74	5.13	8.88	0.00	0.00	4.95	0.00	0.00	2.63	7.55	15.46	7.65	2.10	12.23	7.62
SPINT1	IPI00376403_SPINT1	0.00	0.00	0.00	0.00	0.00	3.30	12.06	9.32	0.00	3.43	0.00	0.00	15.75	14.06	11.97
ADAM10	IPI00013897_ADAM10	0.00	6.84	8.88	2.96	4.64	4.95	10.01	5.59	0.00	0.00	3.09	6.12	6.30	3.67	5.44
GNB2L1	IPI00848226_GNB2L1	0.00	7.69	5.33	0.00	0.00	0.00	0.00	5.59	2.63	7.55	6.18	9.18	5.25	10.39	9.79
NELL2	IPI00921881_NELL2	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	46.38	59.70	0.00	0.00	0.00
CLSTN3	IPI00396423_CLSTN3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	43.29	45.92	0.00	0.00	0.00
MMP8	IPI00027846_MMP8	20.22	29.91	24.88	25.14	18.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SYNE2	IPI00239415_SYNE2	0.00	0.00	0.00	0.00	0.00	9.90	0.00	0.00	3.95	0.00	6.18	0.00	0.00	0.00	0.00
NAMPT	IPI00018873_NAMPT	16.85	10.25	8.88	0.00	0.00	3.30	0.00	0.00	2.63	9.61	3.09	0.00	6.30	11.01	10.88
HLA-C	IPI00892834_HLA-C	19.10	16.24	19.55	14.79	12.76	16.51	24.11	17.71	5.27	10.30	3.09	3.06	8.40	9.17	9.25
MINPP1	IPI00293748_MINPP1	5.62	9.40	6.22	2.96	3.48	0.00	2.01	0.00	0.00	0.00	13.91	16.84	0.00	2.45	3.26
