"","id","name","100fmol -score","12.5fmol-score","25fmol-score","50fmol -score"
"199","D6RF35_GC","D6RF35_GC","0.0185","-0.1329","0.0981","0"
"200","P17931_LGALS3","P17931_LGALS3","0.0494","0.0489","-0.1328","0.0196"
"201","J3KPA1_CRISP3","J3KPA1_CRISP3","-0.1312","0.0789","0","0.0678"
"202","P08246_ELANE","P08246_ELANE","-0.0024","-0.0104","0.1309","-0.1088"
"203","P02750_LRG1","P02750_LRG1","0","-0.1045","0.1289","-0.0292"
"204","X6R8F3_LCN2","X6R8F3_LCN2","0.1288","-0.0795","0.0151","-0.0821"
"205","P30040_ERP29","P30040_ERP29","-0.1285","0.0755","0","0.0654"
"206","P25311_AZGP1","P25311_AZGP1","-0.1279","0.0757","0.0014","0.0437"
"207","P80748","P80748","0.1221","0.0659","-0.1235","-0.0656"
"208","P04899_4_GNAI2","P04899_4_GNAI2","0.1126","0.063","-0.0613","-0.1219"
"209","A0A087WVN6","A0A087WVN6","-0.1209","0","0.0466","0.0636"
"210","P13797_PLS3","P13797_PLS3","0.1197","-0.0693","-0.0095","-0.0318"
"211","CON__P00761","CON__P00761","-0.017","0.0062","-0.0951","0.1196"
"212","P78417_GSTO1","P78417_GSTO1","-0.0424","0.0508","0.1042","-0.1191"
"213","Q8N4F0_BPIFB2","Q8N4F0_BPIFB2","-0.0184","0.0842","-0.1188","0.07"
"214","P30740_SERPINB1","P30740_SERPINB1","-0.1183","0.0731","-0.0116","0.0728"
"215","P14174_MIF","P14174_MIF","-0.0029","0.0251","0.0859","-0.1172"
"216","P20618_PSMB1","P20618_PSMB1","0.0969","-0.0985","0.0951","-0.1172"
"217","P22894_MMP8","P22894_MMP8","0.0255","-0.0013","-0.1166","0.1026"
"218","P01034_CST3","P01034_CST3","-0.0809","0.1164","-0.0244","0.0018"
"219","P36952_SERPINB5","P36952_SERPINB5","-0.1151","0.0483","0.0403","0.0129"
"220","P10909_2_CLU","P10909_2_CLU","-0.1148","0.0799","0.081","-0.0407"
"221","P18510_2_IL1RN","P18510_2_IL1RN","-0.1132","0.1147","-0.0509","0.0695"
"222","P00558_PGK1","P00558_PGK1","0","0.0368","0.066","-0.1143"
"223","P22314_UBA1","P22314_UBA1","0.0936","0.1143","-0.0981","-0.1106"
"224","P08311_CTSG","P08311_CTSG","0.094","0.0602","-0.1114","-0.0419"
"225","A0A087X2C0","A0A087X2C0","-0.0499","0.0184","0.1092","-0.0839"
"226","P07737_PFN1","P07737_PFN1","0.0209","0","0.0638","-0.1066"
"227","P22079_LPO","P22079_LPO","-0.0783","0.1062","0.0295","-0.05"
"228","O95336_PGLS","O95336_PGLS","-0.018","0.102","0","-0.0604"
"229","P01876_IGHA1","P01876_IGHA1","0","0.0575","-0.1005","0.0435"
"230","P31947_SFN","P31947_SFN","-0.0139","0.1002","-0.0672","0"
"231","P43652_AFM","P43652_AFM","-0.0932","0.0989","0.0234","-0.019"
"232","A8K2U0_A2ML1","A8K2U0_A2ML1","-0.0038","0.0806","-0.0971","0.0327"
"233","P32926_DSG3","P32926_DSG3","-0.0863","0.0961","-0.0115","0.0137"
"234","CON__P02768_1_ALB","CON__P02768_1_ALB","-0.0287","-0.0827","0.0952","0.0092"
"235","P00352_ALDH1A1","P00352_ALDH1A1","0.0629","0.0725","-0.0447","-0.0942"
"236","P29401_2_TKT","P29401_2_TKT","0","0.0565","0.0326","-0.0933"
"237","P05109_S100A8","P05109_S100A8","0.0931","-0.0299","0","-0.0674"
"238","P63261_ACTG1","P63261_ACTG1","0.0461","0.014","8e-04","-0.0905"
"239","P62937_PPIA","P62937_PPIA","0","0.0268","0.0543","-0.089"
"240","P00338_3_LDHA","P00338_3_LDHA","0.0019","0.0368","0.0218","-0.0873"
"241","P01714","P01714","0","-0.0871","0.049","0.0308"
"242","P61626_LYZ","P61626_LYZ","0","0.0108","-0.0867","0.0735"
"243","P01623","P01623","-0.0863","0","0.0324","0.0579"
"244","P62328_TMSB4X","P62328_TMSB4X","0","0","0.0862","-0.086"
"245","P59998_3_ARPC4","P59998_3_ARPC4","0.0594","0.0281","-0.0094","-0.0856"
"246","P14618_PKM2","P14618_PKM2","0.0561","0.0269","-0.0058","-0.0848"
"247","P02753_RBP4","P02753_RBP4","-0.0804","-0.0086","0.0664","0.0255"
"248","P08670_VIM","P08670_VIM","0.0798","0.027","-0.041","-0.0718"
"249","P01591_IGJ","P01591_IGJ","-0.0486","0.0773","-0.0134","0"
"250","P06702_S100A9","P06702_S100A9","0.0771","-0.0369","0.0121","-0.0632"
"251","Q9UGM3_6_DMBT1","Q9UGM3_6_DMBT1","-0.0058","0.063","-0.0768","0.0297"
"252","P04080_CSTB","P04080_CSTB","-0.0458","0.0765","-0.051","0.0321"
"253","P31151_S100A7","P31151_S100A7","-0.0762","0.0191","0.0718","-0.013"
"254","P04406_GAPDH","P04406_GAPDH","-0.0154","0.076","0","-0.0464"
"255","P09211_GSTP1","P09211_GSTP1","-0.0425","0.0752","0","-0.0054"
"256","P14780_MMP9","P14780_MMP9","0.0114","0.0115","0.0222","-0.0731"
"257","P01763","P01763","-0.0149","-0.071","0.0174","0.0694"
"258","P06396_GSN","P06396_GSN","0.0388","0","0.0221","-0.0688"
"259","P26038_MSN","P26038_MSN","0.0677","-0.0182","0","-0.0522"
"260","Q99536_VAT1","Q99536_VAT1","0.067","-0.0159","-0.0061","-0.0297"
"261","A0A075B6P5","A0A075B6P5","-0.0664","0.0278","0","0.0451"
"262","Q96DR5_BPIFA2","Q96DR5_BPIFA2","-0.0478","0.0341","-0.0398","0.0642"
"263","P31946_YWHAB","P31946_YWHAB","0.0177","0.0542","-0.0642","-0.0032"
"264","CON__P60712_ACTB","CON__P60712_ACTB","0.0438","0.0432","-0.0268","-0.0634"
"265","P07237_P4HB","P07237_P4HB","0.0427","0.0627","-0.0477","-0.0583"
