"X","X.1","out$p.value"
"A8K2U0_A2ML1","A8K2U0_A2ML1",0.984475050342874
"P31946_YWHAB","P31946_YWHAB",0.984618956652927
"CON__P60712_ACTB","CON__P60712_ACTB",0.985427860556585
"P00338-3_LDHA","P00338-3_LDHA",0.988391640528944
"P07339_CTSD","P07339_CTSD",0.988567181673075
"P01591_IGJ","P01591_IGJ",0.988575137061898
"P11021_HSPA5","P11021_HSPA5",0.988627118595548
"P04075-2_ALDOA","P04075-2_ALDOA",0.988777931442651
"P29401-2_TKT","P29401-2_TKT",0.988815761952986
"P31151_S100A7","P31151_S100A7",0.988960293599481
"P04080_CSTB","P04080_CSTB",0.989218915729212
"P06733_ENO1","P06733_ENO1",0.989709890965408
"P31947_SFN","P31947_SFN",0.991511959253033
"Q08380_LGALS3BP","Q08380_LGALS3BP",0.991910373910431
"P13797_PLS3","P13797_PLS3",0.993237507746484
"P09211_GSTP1","P09211_GSTP1",0.994587312609491
"P22079_LPO","P22079_LPO",0.995058049264076
"P10599_TXN","P10599_TXN",0.995154096340303
"P04406_GAPDH","P04406_GAPDH",0.995509154754159
"Q01469_FABP5","Q01469_FABP5",0.995857630672394
"P30044_PRDX5","P30044_PRDX5",0.996209610574153
"E7EX29_YWHAZ","E7EX29_YWHAZ",0.999759468915574
